LEVEL,Div Num,Div Name,Sch Num,Sch Name,Sch Type,Low Grade,High Grade,Subject,Grade,Test,2018-2019 Pass Rate,2019-2020 Pass Rate,2020-2021 Pass Rate,2018-2019 Adv Pass Rate,2019-2020 Adv Pass Rate,2020-2021 Adv Pass Rate,address,latitude,longitude,geoid
SCH,2.0,Albemarle County,340.0,Crozet Elementary,Elem,KG,5.0,English: Reading,Gr 3,English Reading,52,,62,14,,8,Crozet Elementary Albemarle County,38.0746842,-78.6972965,5100090
SCH,2.0,Albemarle County,10.0,Hollymead Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,93,,96,31,,29,Hollymead Elementary Albemarle County,38.1123927,-78.4393251,5100090
SCH,2.0,Albemarle County,40.0,Mary Carr Greer Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,55,,39,10,,7,Mary Carr Greer Elementary Albemarle County,38.0789108,-78.5059185,5100090
SCH,2.0,Albemarle County,250.0,Meriwether Lewis Elementary,Elem,KG,5.0,English: Reading,Gr 3,English Reading,82,,76,24,,24,Meriwether Lewis Elementary Albemarle County,38.0812441,-78.5980706,5100090
SCH,2.0,Albemarle County,150.0,Mountain View Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,60,,58,14,,8,Mountain View Elementary Albemarle County,37.9963121,-78.4993339,5100090
SCH,2.0,Albemarle County,540.0,Red Hill Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,52,,63,17,,0,Red Hill Elementary Albemarle County,37.9644813,-78.6351165,5100090
SCH,2.0,Albemarle County,30.0,Scottsville Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,64,,76,13,,12,Scottsville Elementary Albemarle County,37.8185234,-78.510781,5100090
SCH,2.0,Albemarle County,920.0,Stone Robinson Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,66,,74,23,,23,Stone Robinson Elementary Albemarle County,38.0109523,-78.3971583,5100090
SCH,2.0,Albemarle County,240.0,Stony Point Elementary,Elem,KG,5.0,English: Reading,Gr 3,English Reading,74,,55,37,,20,Stony Point Elementary Albemarle County,38.1118873,-78.3694723,5100090
SCH,2.0,Albemarle County,910.0,Virginia L. Murray Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,89,,97,45,,41,Virginia L. Murray Elementary Albemarle County,38.058077,-78.6125636,5100090
SCH,2.0,Albemarle County,930.0,Woodbrook Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,58,,45,9,,4,Woodbrook Elementary Albemarle County,38.0872259,-78.4662548,5100120
SCH,101.0,Alexandria City,120.0,Charles Barrett Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,85,,58,26,,9,Charles Barrett Elementary Alexandria City,38.8420551,-77.0768167,5100120
SCH,101.0,Alexandria City,160.0,Cora Kelly School for Math Science and Technology,Elem,PK,5.0,English: Reading,Gr 3,English Reading,42,,25,4,,3,Cora Kelly School for Math Science and Technology Alexandria City,38.837417,-77.0575561,5100120
SCH,101.0,Alexandria City,110.0,Douglas Macarthur Elementary,Elem,KG,5.0,English: Reading,Gr 3,English Reading,71,,54,19,,13,Douglas Macarthur Elementary Alexandria City,38.8164469,-77.1116712,5100120
SCH,101.0,Alexandria City,350.0,Ferdinand T. Day Elementary,Elem,KG,5.0,English: Reading,Gr 3,English Reading,47,,29,4,,9,Ferdinand T. Day Elementary Alexandria City,38.8317524,-77.1232258,5100120
SCH,101.0,Alexandria City,100.0,George Mason Elementary,Elem,KG,5.0,English: Reading,Gr 3,English Reading,67,,61,24,,11,George Mason Elementary Alexandria City,38.828478,-77.072952,5100120
SCH,101.0,Alexandria City,220.0,James K. Polk Elementary,Elem,KG,5.0,English: Reading,Gr 3,English Reading,58,,39,17,,2,James K. Polk Elementary Alexandria City,38.821772,-77.116147,5100120
SCH,101.0,Alexandria City,90.0,Jefferson-Houston PK-8 School,Combined,PK,8.0,English: Reading,Gr 3,English Reading,35,,45,7,,3,Jefferson-Houston PK-8 School Alexandria City,38.8082258,-77.0543224,5100120
SCH,101.0,Alexandria City,230.0,John Adams Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,59,,49,8,,6,John Adams Elementary Alexandria City,38.8335445,-77.1258185,5100120
SCH,101.0,Alexandria City,80.0,Lyles-Crouch Elementary,Elem,KG,5.0,English: Reading,Gr 3,English Reading,81,,65,31,,9,Lyles-Crouch Elementary Alexandria City,38.7993888,-77.0464303,5100120
SCH,101.0,Alexandria City,30.0,Mount Vernon Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,53,,50,11,,12,Mount Vernon Elementary Alexandria City,38.8284601,-77.059802,5100120
SCH,101.0,Alexandria City,60.0,Naomi L. Brooks Elementary,Elem,KG,5.0,English: Reading,Gr 3,English Reading,68,,61,25,,12,Naomi L. Brooks Elementary Alexandria City,38.8127348,-77.0648466,5100120
SCH,101.0,Alexandria City,50.0,Patrick Henry K-8 School,Combined,KG,8.0,English: Reading,Gr 3,English Reading,65,,43,11,,3,Patrick Henry K-8 School Alexandria City,38.8175068,-77.1115087,5100120
SCH,101.0,Alexandria City,333.0,Samuel W. Tucker Elementary,Elem,KG,5.0,English: Reading,Gr 3,English Reading,79,,55,16,,5,Samuel W. Tucker Elementary Alexandria City,38.8055455,-77.1264052,5100120
SCH,101.0,Alexandria City,190.0,William Ramsay Elementary,Elem,KG,5.0,English: Reading,Gr 3,English Reading,42,,19,5,,2,William Ramsay Elementary Alexandria City,38.8273625,-77.1312195,5100152
SCH,3.0,Alleghany County,110.0,Callaghan Elementary,Elem,KG,5.0,English: Reading,Gr 3,English Reading,55,,50,0,,3,Callaghan Elementary Alleghany County,37.8132525,-80.0781372,5100152
SCH,3.0,Alleghany County,1041.0,Mountain View Elementary,Elem,KG,5.0,English: Reading,Gr 3,English Reading,57,,55,11,,7,Mountain View Elementary Alleghany County,37.8000733,-79.8740139,5100152
SCH,3.0,Alleghany County,90.0,Sharon Elementary,Elem,KG,5.0,English: Reading,Gr 3,English Reading,78,,71,4,,10,Sharon Elementary Alleghany County,37.8101751,-79.744895,5100180
SCH,4.0,Amelia County,220.0,Amelia County Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,67,,57,10,,8,Amelia County Elementary Amelia County,37.3353614,-77.9902114,5100240
SCH,5.0,Amherst County,780.0,Amelon Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,69,,47,15,,7,Amelon Elementary Amherst County,37.4701154,-79.1175993,5100240
SCH,5.0,Amherst County,790.0,Amherst Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,87,,79,22,,12,Amherst Elementary Amherst County,37.587916,-79.0455582,5100270
SCH,5.0,Amherst County,770.0,Central Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,69,,49,19,,9,Central Elementary Amherst County,37.5692329,-79.0361717,5100270
SCH,5.0,Amherst County,760.0,Elon Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,84,,57,18,,2,Elon Elementary Amherst County,37.5137096,-79.1955376,5100270
SCH,5.0,Amherst County,500.0,Madison Heights Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,62,,54,7,,4,Madison Heights Elementary Amherst County,37.4320054,-79.1337998,5100270
SCH,5.0,Amherst County,740.0,Temperance Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,78,,71,6,,0,Temperance Elementary Amherst County,37.6930629,-79.0817803,5100270
SCH,6.0,Appomattox County,110.0,Appomattox Elementary,Elem,3,5.0,English: Reading,Gr 3,English Reading,71,,63,14,,9,Appomattox Elementary Appomattox County,37.3523093,-78.8378305,5100270
SCH,7.0,Arlington County,350.0,Abingdon Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,52,,50,12,,12,Abingdon Elementary Arlington County,38.8396172,-77.0959883,5100270
SCH,7.0,Arlington County,160.0,Alice West Fleet Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,74,,68,30,,8,Alice West Fleet Elementary Arlington County,38.8702001,-77.0979407,5100270
SCH,7.0,Arlington County,470.0,Arlington Traditional,Elem,PK,5.0,English: Reading,Gr 3,English Reading,96,,89,32,,24,Arlington Traditional Arlington County,38.8788678,-77.1461256,5100270
